generator,mode,rho,n,feature_idx,label,feat_type,is_true_pair,S_dir,lynn_metric
interaction,gaussian,0.5,4,328,x_11*x_22,PRODUCT,False,0.3345526456832886,0.45206104500472977
interaction,gaussian,0.5,5,300,x_10*x_14,PRODUCT,False,0.31410402059555054,0.48555233077466003
interaction,gaussian,0.5,6,108,x_2*x_18*,PRODUCT,True,0.2959275245666504,0.5153222649481285
interaction,gaussian,0.5,7,431,x_17*x_26*,PRODUCT,True,0.2829204499721527,0.5366255873185084
interaction,gaussian,0.5,8,339,x_12*x_14*,PRODUCT,True,0.27379971742630005,0.5515637584089171
interaction,gaussian,0.5,9,278,x_9*x_13,PRODUCT,False,0.2644764482975006,0.5668336491405845
interaction,gaussian,0.5,10,168,x_4*x_23*,PRODUCT,True,0.2575537860393524,0.5781717640007068
interaction,gaussian,0.5,11,482,x_21*x_31*,PRODUCT,True,0.25087738037109375,0.5891065534641664
interaction,gaussian,0.5,12,305,x_10*x_19*,PRODUCT,True,0.24544569849967957,0.5980027021776545
interaction,gaussian,0.5,13,221,x_6*x_25*,PRODUCT,True,0.23969249427318573,0.6074254484999888
interaction,gaussian,0.5,14,388,x_14*x_28,PRODUCT,False,0.23421745002269745,0.6163926172367304
interaction,gaussian,0.5,15,91,x_1*x_30*,PRODUCT,True,0.22928079962730408,0.6244779906263331
interaction,gaussian,0.5,16,400,x_15*x_24,PRODUCT,False,0.22552773356437683,0.6306248590582013
interaction,gaussian,0.5,17,259,x_8*x_16*,PRODUCT,True,0.222102090716362,0.6362354653007393
interaction,gaussian,0.5,18,465,x_20*x_24,PRODUCT,False,0.21787019073963165,0.6431665802711745
interaction,gaussian,0.5,19,319,x_11*x_13*,PRODUCT,True,0.2154453843832016,0.6471379906849064
interaction,gaussian,0.5,20,288,x_9*x_23*,PRODUCT,True,0.21214734017848969,0.6525396125772313
interaction,gaussian,0.5,21,167,x_4*x_22*,PRODUCT,True,0.20892246067523956,0.6578214034337571
interaction,gaussian,0.5,22,128,x_3*x_10*,PRODUCT,True,0.20619533956050873,0.6622879527587496
interaction,gaussian,0.5,23,391,x_14*x_31*,PRODUCT,True,0.20326058566570282,0.667094568408146
interaction,gaussian,0.5,24,241,x_7*x_21*,PRODUCT,True,0.20059911906719208,0.6714535870725009
interaction,gaussian,0.5,25,51,x_0*x_20*,PRODUCT,True,0.1980564445257187,0.67561804504085
interaction,gaussian,0.5,26,442,x_18*x_24*,PRODUCT,True,0.19603152573108673,0.6789345092882476
interaction,gaussian,0.5,27,112,x_2*x_22*,PRODUCT,True,0.1936163604259491,0.6828901293394211
interaction,gaussian,0.5,28,273,x_8*x_30*,PRODUCT,True,0.1908828467130661,0.6873671486266045
interaction,gaussian,0.5,29,446,x_18*x_28*,PRODUCT,True,0.18875886499881744,0.6908458606797031
interaction,gaussian,0.5,30,459,x_19*x_29*,PRODUCT,True,0.1866665780544281,0.6942726622209596
interaction,gaussian,0.5,31,441,x_18*x_23*,PRODUCT,True,0.18481086194515228,0.6973120019446307
interaction,gaussian,0.5,32,257,x_8*x_14*,PRODUCT,True,0.18311797082424164,0.70008466270126
interaction,gaussian,0.5,33,304,x_10*x_18*,PRODUCT,True,0.1813724786043167,0.702943474895032
interaction,gaussian,0.5,34,393,x_15*x_17*,PRODUCT,True,0.17983421683311462,0.7054628797130693
interaction,gaussian,0.5,35,332,x_11*x_26*,PRODUCT,True,0.17808914184570312,0.7083210085526657
