mode,rho,n,feature_idx,label,feat_type,S_dir,lynn_metric
lognormal,0.5,25,13,x_13,LINEAR,0.13402745127677917,0.7797275687964561
lognormal,0.5,26,0,x_0,LINEAR,0.13301503658294678,0.7813914596178679
lognormal,0.5,27,468,x_20*x_27,PRODUCT,0.13179755210876465,0.7833923800451829
lognormal,0.5,28,339,x_12*x_14,PRODUCT,0.1309756189584732,0.784743216844486
lognormal,0.5,29,148,x_3*x_30,PRODUCT,0.12920410931110382,0.7876546706788259
lognormal,0.5,30,17,x_17,LINEAR,0.1284041702747345,0.7889693604284043
half_normal,0.5,1,160,x_4*x_15,PRODUCT,0.5588016510009766,0.08550978846368068
half_normal,0.5,2,207,x_6*x_11,PRODUCT,0.5266933441162109,0.13805568252559902
half_normal,0.5,3,479,x_21*x_28,PRODUCT,0.5022478699684143,0.1780611957242082
half_normal,0.5,4,197,x_5*x_26,PRODUCT,0.48175808787345886,0.21159313881847822
half_normal,0.5,5,232,x_7*x_12,PRODUCT,0.46374717354774475,0.24106836463819586
half_normal,0.5,6,485,x_22*x_25,PRODUCT,0.44788041710853577,0.26703463268070404
half_normal,0.5,7,505,x_24*x_30,PRODUCT,0.43321850895881653,0.29102914211235104
half_normal,0.5,8,472,x_20*x_31,PRODUCT,0.4173612892627716,0.31697980308165563
half_normal,0.5,9,376,x_14*x_16,PRODUCT,0.4015440046787262,0.3428651094319201
half_normal,0.5,10,309,x_10*x_23,PRODUCT,0.38494303822517395,0.3700329270226913
half_normal,0.5,11,93,x_2*x_3,PRODUCT,0.367203027009964,0.39906481441921887
half_normal,0.5,12,362,x_13*x_19,PRODUCT,0.3501107394695282,0.42703668891259866
half_normal,0.5,13,283,x_9*x_18,PRODUCT,0.3305013179779053,0.4591279040617603
half_normal,0.5,14,48,x_0*x_17,PRODUCT,0.31105878949165344,0.4909459954298588
half_normal,0.5,15,69,x_1*x_8,PRODUCT,0.28909793496131897,0.5268853783378896
half_normal,0.5,16,29,x_29,LINEAR,0.2752566635608673,0.5495368991203659
half_normal,0.5,17,27,x_27,LINEAR,0.26096442341804504,0.5729264393769579
half_normal,0.5,18,245,x_7*x_25,PRODUCT,0.2587781548500061,0.576504312136782
half_normal,0.5,19,347,x_12*x_22,PRODUCT,0.2535625398159027,0.5850397716997332
half_normal,0.5,20,388,x_14*x_28,PRODUCT,0.2514440417289734,0.5885067366956042
half_normal,0.5,21,412,x_16*x_21,PRODUCT,0.24706022441387177,0.595680942456526
