mode,rho,n,S_dir,lynn_metric,phi_direct,input_added
gaussian,0.5,2,0.6817792654037476,-0.0058595331842794295,-0.006012092955771819,44
gaussian,0.5,3,0.6817520260810852,-0.005819345789666915,-0.005970859235531281,304
gaussian,0.5,4,0.681719958782196,-0.005772035465155902,-0.005922317131615726,105
gaussian,0.5,5,0.6816946864128113,-0.005734750004946479,-0.005884060901020566,90
gaussian,0.5,6,0.6816672682762146,-0.005694298798115501,-0.005842556499903177,65
gaussian,0.5,7,0.6816426515579224,-0.005657980649373776,-0.005805292765856476,197
gaussian,0.5,8,0.6816165447235107,-0.0056194640654781925,-0.005765773357836006,257
gaussian,0.5,9,0.6815966367721558,-0.005590092971822657,-0.005735637553546422,295
gaussian,0.5,10,0.6815724968910217,-0.005554478322330165,-0.005699095635171329,312
gaussian,0.5,11,0.6815527677536011,-0.005525371040893092,-0.005669230511758599,7
gaussian,0.5,12,0.6815292239189148,-0.005490635765462144,-0.005633590862973014,77
gaussian,0.5,13,0.6815098524093628,-0.005462056108461997,-0.005604267101313988,209
gaussian,0.5,14,0.6814879775047302,-0.0054297830804033685,-0.005571153807379027,126
gaussian,0.5,15,0.6814690232276917,-0.005401818985246301,-0.005542461634432658,306
gaussian,0.5,16,0.681448757648468,-0.0053719202671538395,-0.005511784468389369,1
gaussian,0.5,17,0.681430995464325,-0.0053457149201198585,-0.005484896834622017,292
gaussian,0.5,18,0.6814113855361938,-0.005316783513495094,-0.005455212165127188,88
gaussian,0.5,19,0.6813942193984985,-0.0052914575405226556,-0.005429226800949345,20
gaussian,0.5,20,0.6813751459121704,-0.00526331757055328,-0.005400354174085073,247
gaussian,0.5,21,0.6813579797744751,-0.005237991597580842,-0.005374368809907229,228
gaussian,0.5,22,0.6813390254974365,-0.005210027502423774,-0.00534567663696086,79
gaussian,0.5,23,0.6813230514526367,-0.005186460277574422,-0.005321495811962032,120
gaussian,0.5,24,0.6813079714775085,-0.005164212113817385,-0.005298668391347468,84
gaussian,0.5,25,0.6812922358512878,-0.005140996638592649,-0.005274848474184445,298
gaussian,0.5,26,0.6812793612480164,-0.0051220021588633214,-0.005255359451051061,70
gaussian,0.5,27,0.6812660098075867,-0.005102304179884758,-0.005235148612246072,273
gaussian,0.5,28,0.6812534928321838,-0.0050838373245923555,-0.005216200950866393,157
gaussian,0.5,29,0.6812403202056885,-0.005064403157832255,-0.005196260792938256,152
gaussian,0.5,30,0.6812281608581543,-0.005046463926976778,-0.005177854493312283,316
gaussian,0.5,31,0.6812151670455933,-0.0050272935724351405,-0.005158185016260999,4
gaussian,0.5,32,0.6812032461166382,-0.005009706091204281,-0.005140139624470829,224
gaussian,0.5,33,0.6811906695365906,-0.004991151298505724,-0.005121101736132201,28
gaussian,0.5,34,0.6811789870262146,-0.004973915566899481,-0.005103417252177834,188
gaussian,0.5,35,0.6811665296554565,-0.004955536649013232,-0.0050845598177571075,218
gaussian,0.5,36,0.6811554431915283,-0.004939180291468533,-0.005067777603392249,166
gaussian,0.5,37,0.6811438798904419,-0.004922120434674599,-0.005050273573355785,249
gaussian,0.5,38,0.6811332106590271,-0.004906379638972979,-0.005034122947703583,68
gaussian,0.5,39,0.6811221837997437,-0.004890111218834434,-0.005017430960297676,229
gaussian,0.5,40,0.6811113953590393,-0.004874194548320505,-0.0050010998807275735,87
gaussian,0.5,41,0.6811003684997559,-0.00485792612818196,-0.004984407893321666,100
gaussian,0.5,42,0.681090235710144,-0.004842976769135729,-0.004969069310300022,220
gaussian,0.5,43,0.6810799837112427,-0.00482785153527719,-0.004953550273360477,154
gaussian,0.5,44,0.6810699105262756,-0.004812990113637113,-0.004938301917297784,60
gaussian,0.5,45,0.6810595393180847,-0.004797689004966265,-0.004922602426440336,243
gaussian,0.5,46,0.6810500025749207,-0.004783619019981577,-0.0049081661130082,3
gaussian,0.5,47,0.6810401678085327,-0.004769109347966117,-0.004893278664781311,191
gaussian,0.5,48,0.6810308694839478,-0.004755391112606047,-0.0048792032591849785,32
gaussian,0.5,49,0.6810219883918762,-0.004742288439089057,-0.004865759442301302,9
gaussian,0.5,50,0.6810128688812256,-0.0047288340159474486,-0.004851954717581822,144
gaussian,0.5,320,0.6807901263237,-0.004400211929148832,-0.0045147765719825055,-1
uniform,0.5,0,0.6059352159500122,0.0,0.0,-1
uniform,0.5,1,0.6090663075447083,-0.0051673702275035795,-0.006952755253114915,272
uniform,0.5,2,0.6090028882026672,-0.005062706658904775,-0.006811929234396173,113
uniform,0.5,3,0.6089504957199097,-0.00497624117319204,-0.006695588942616309,25
uniform,0.5,4,0.6088942289352417,-0.004883381766465281,-0.0065706455575876505,218
uniform,0.5,5,0.6088575720787048,-0.004822885436871047,-0.006489247059925971,306
uniform,0.5,6,0.6088166236877441,-0.004755306610153586,-0.0063983189820502415,126
uniform,0.5,7,0.6087847352027893,-0.0047026797218073825,-0.006327508906848618,44
uniform,0.5,8,0.6087510585784912,-0.0046471017929931675,-0.006252728173224474,18
uniform,0.5,9,0.6087205410003662,-0.004596737369005773,-0.006184962269480117,224
uniform,0.5,10,0.6086889505386353,-0.004544602320737571,-0.006114813970682247,166
uniform,0.5,11,0.6086653470993042,-0.004505648586559821,-0.00606240127950497,144
uniform,0.5,12,0.6086384057998657,-0.0044611862435084484,-0.006002576692605654,197
uniform,0.5,13,0.6086156368255615,-0.004423609661549103,-0.005952016975358888,304
uniform,0.5,14,0.6085945963859558,-0.004388885752042169,-0.005905295561253892,68
uniform,0.5,15,0.6085748076438904,-0.004356227570862843,-0.0058613536080446595,13
uniform,0.5,16,0.6085549592971802,-0.004323471021667916,-0.005817279299554678,96
uniform,0.5,17,0.6085366606712341,-0.0042932720408786,-0.005776646228364213,229
uniform,0.5,18,0.6085192561149597,-0.0042645485803232885,-0.00573799848638501,38
uniform,0.5,19,0.6085027456283569,-0.004237300640001983,-0.005701336073617066,90
uniform,0.5,20,0.6084854602813721,-0.004208773915477873,-0.005662953042199364,152
uniform,0.5,21,0.6084708571434021,-0.00418467375165578,-0.005630525998415442,86
uniform,0.5,22,0.608455240726471,-0.00415890133156848,-0.0055958489148587595,1
uniform,0.5,23,0.6084408164024353,-0.004135096271793188,-0.005563818936917091,106
uniform,0.5,24,0.6084251999855042,-0.004109323851705888,-0.005529141853360408,201
uniform,0.5,25,0.6084110736846924,-0.004086010632008598,-0.005497773651822493,227
uniform,0.5,26,0.6083959937095642,-0.004061123524061702,-0.005464287765792566,286
uniform,0.5,27,0.6083819270133972,-0.0040379086723800126,-0.005433051919535401,7
uniform,0.5,28,0.608367383480072,-0.00401390687657352,-0.005400757231032231,108
uniform,0.5,29,0.6083531975746155,-0.003990495288860629,-0.0053692566742135645,212
uniform,0.5,30,0.6083388328552246,-0.003966788597100937,-0.0053373590515526466,157
uniform,0.5,31,0.6083254814147949,-0.003944754161606452,-0.005307711468664491,3
uniform,0.5,32,0.6083115339279175,-0.003921736045955963,-0.005276740332968827,135
uniform,0.5,33,0.6082980036735535,-0.0038994065064146765,-0.0052466956842384185,305
uniform,0.5,34,0.6082841753959656,-0.0038765851267953885,-0.005215989259104256,191
uniform,0.5,35,0.6082713603973389,-0.0038554360034413065,-0.005187532873742857,51
uniform,0.5,36,0.6082582473754883,-0.003833795040009223,-0.0051584147119777025,172
uniform,0.5,37,0.6082460284233093,-0.003813629596811145,-0.0051312818794238095,26
uniform,0.5,38,0.6082329750061035,-0.0037920870013946617,-0.005102296072939407,249
uniform,0.5,39,0.608220636844635,-0.003771724822165383,-0.005074898529824012,131
uniform,0.5,40,0.6082077026367188,-0.0037503789627801004,-0.005046177433901111,116
uniform,0.5,41,0.608195424079895,-0.003730115151566422,-0.005018912246066467,263
uniform,0.5,42,0.6081835627555847,-0.0037105399164619464,-0.004992573545197079,256
uniform,0.5,43,0.6081714034080505,-0.003690472841279469,-0.004965573067923936,49
uniform,0.5,44,0.6081600785255432,-0.0036717829183153966,-0.004940425564581304,311
uniform,0.5,45,0.6081483364105225,-0.0036524044192421216,-0.004914351574273416,84
uniform,0.5,46,0.608137309551239,-0.003634206336356051,-0.004889865847334537,292
uniform,0.5,47,0.6081263422966003,-0.0036161066214855813,-0.004865512475676409,147
uniform,0.5,48,0.6081159114837646,-0.003598892218755515,-0.004842350301545036,47
uniform,0.5,49,0.6081053614616394,-0.0035814810799942474,-0.004818923416852162,120
uniform,0.5,50,0.6080948114395142,-0.00356406994123298,-0.004795496532159289,45
uniform,0.5,320,0.6077679395675659,-0.0030246197436804944,-0.004069660172522462,-1
lognormal,0.5,0,0.6057586669921875,0.0,0.0,-1
lognormal,0.5,1,0.5793774127960205,0.04355076639210056,0.04486608712880405,19
lognormal,0.5,2,0.5674346685409546,0.06326611658983854,0.06517688055509471,295
lognormal,0.5,3,0.5607541799545288,0.07429441705080733,0.07653825787070044,174
lognormal,0.5,4,0.5568196177482605,0.08078968062797552,0.0832296914715253,3
lognormal,0.5,5,0.5541138052940369,0.08525649654273407,0.08783141421081186,274
lognormal,0.5,6,0.5521568655967712,0.08848705650646112,0.09115954358292078,168
lognormal,0.5,7,0.5506661534309387,0.09094795759968764,0.09369476883866042,96
lognormal,0.5,8,0.5495721697807312,0.09275393035718783,0.09555528560570742,154
lognormal,0.5,9,0.5487136244773865,0.09417123620872063,0.09701539694451884,95
lognormal,0.5,10,0.5479403734207153,0.09544773640393965,0.09833045001299986,236
lognormal,0.5,11,0.5470951199531555,0.09684309979470515,0.099767956184597,184
lognormal,0.5,12,0.5463981628417969,0.09799365223305373,0.10095325762063712,297
lognormal,0.5,13,0.5458115339279175,0.09896207240736543,0.10195092603195217,270
lognormal,0.5,14,0.5452101230621338,0.09995489495957077,0.10297373382205266,268
lognormal,0.5,15,0.5446248054504395,0.10092115040681125,0.10396917212718514,170
lognormal,0.5,16,0.5441259741783142,0.10174463226403688,0.10481752479273032,99
lognormal,0.5,17,0.5435841679573059,0.10263905813118718,0.10573896411998636,273
lognormal,0.5,18,0.543094277381897,0.10344778048565455,0.10657211151610486,240
lognormal,0.5,19,0.5425803065299988,0.10429625510088415,0.10744621177121255,307
lognormal,0.5,20,0.5421357154846191,0.1050301959747097,0.10820231913556928,150
lognormal,0.5,21,0.5416488647460938,0.10583390009823924,0.10903029674008273,281
lognormal,0.5,22,0.5412142276763916,0.1065514087256606,0.10976947557114444,223
lognormal,0.5,23,0.5408079624176025,0.10722208053099574,0.1104604030138922,319
lognormal,0.5,24,0.5403981804847717,0.10789855774074913,0.11115731119594778,201
lognormal,0.5,25,0.5400155782699585,0.10853016606211743,0.1118079953589463,125
lognormal,0.5,26,0.5396239757537842,0.10917663228292904,0.11247398615983432,42
lognormal,0.5,27,0.5392431020736694,0.10980538710043074,0.11312173063741034,146
lognormal,0.5,28,0.5388508439064026,0.11045293568477796,0.11378883649138966,10
lognormal,0.5,29,0.5384822487831116,0.11106142078515832,0.11441569906561973,82
lognormal,0.5,30,0.5381419658660889,0.11162316746013753,0.11499441161999867,187
lognormal,0.5,31,0.5377791523933411,0.11222210808206756,0.11561144145333282,58
lognormal,0.5,32,0.5374555587768555,0.11275630368523136,0.11616177083811534,317
lognormal,0.5,33,0.5371091961860657,0.1133280868220862,0.11675082297570442,128
lognormal,0.5,34,0.5367929339408875,0.11385017963298824,0.11728868403955707,248
lognormal,0.5,35,0.536483645439148,0.11436076003173884,0.11781468499325691,175
lognormal,0.5,36,0.5361693501472473,0.11487960575203406,0.11834920089783568,314
lognormal,0.5,37,0.5358689427375793,0.11537552504471145,0.1188600979505717,224
lognormal,0.5,38,0.5355644822120667,0.1158781353119726,0.11937788805878113,316
lognormal,0.5,39,0.5352870225906372,0.1163361718809038,0.11984975825332204,310
lognormal,0.5,40,0.5350096225738525,0.11679411005314995,0.12032152707940011,16
lognormal,0.5,41,0.5347245931625366,0.11726464300108315,0.12080627106872226,308
lognormal,0.5,42,0.5344464778900146,0.11772376193354997,0.12127925631635444,257
lognormal,0.5,43,0.5341691374778748,0.11818160170911106,0.12175092377396966,161
lognormal,0.5,44,0.5339008569717407,0.1186244851885438,0.12220718322523252,24
lognormal,0.5,45,0.533647358417511,0.11904296629008287,0.12263830329770996,167
lognormal,0.5,46,0.5333783626556396,0.11948703052973626,0.12309577917052696,5
lognormal,0.5,47,0.5331373810768127,0.11988484832741379,0.12350561186580707,183
lognormal,0.5,48,0.5328874588012695,0.12029742562784956,0.12393064983051383,93
lognormal,0.5,49,0.5326467156410217,0.12069484983878687,0.12434007705194255,276
lognormal,0.5,50,0.5324105620384216,0.12108469750497494,0.12474169890173226,104
lognormal,0.5,320,0.515315055847168,0.149306342729036,0.1538156945724626,-1
half_normal,0.5,0,0.6064389944076538,0.0,0.0,-1
half_normal,0.5,1,0.6053330898284912,0.0018236040052846578,0.001926081759388591,19
half_normal,0.5,2,0.6024428606033325,0.0065895066794386436,0.006959805188986132,95
half_normal,0.5,3,0.6006110310554504,0.00961013952919683,0.01015018304342666,317
half_normal,0.5,4,0.5993337631225586,0.01171631664621984,0.012374717161241586,96
half_normal,0.5,5,0.5983919501304626,0.013269338468333825,0.014015011323152717,145
half_normal,0.5,6,0.5976797342300415,0.014443761463868285,0.015255431229530547,168
half_normal,0.5,7,0.597119927406311,0.01536686639098015,0.016230410203561897,274
half_normal,0.5,8,0.5966906547546387,0.016074724321672187,0.01697804633760936,240
half_normal,0.5,9,0.5963431596755981,0.016647733449127698,0.017583255815739978,41
half_normal,0.5,10,0.5960491895675659,0.01713248147942111,0.018095244348525604,170
half_normal,0.5,11,0.5958049893379211,0.01753516044943573,0.018520551935472626,154
half_normal,0.5,12,0.5955946445465088,0.017882012801200824,0.018886895717346204,290
half_normal,0.5,13,0.5954198837280273,0.018170188232024074,0.019191265218183078,295
half_normal,0.5,14,0.5952680110931396,0.018420621723749055,0.01945577186488579,270
half_normal,0.5,15,0.5951365232467651,0.01863744130096464,0.019684775657125266,220
half_normal,0.5,16,0.595022976398468,0.018824676701959968,0.019882532785056455,149
half_normal,0.5,17,0.5949252247810364,0.018985866233525495,0.02005278039125443,27
half_normal,0.5,18,0.5948361754417419,0.019132705965329705,0.020207871808120153,181
half_normal,0.5,19,0.5947582125663757,0.01926126444538319,0.020343654655014635,229
half_normal,0.5,20,0.5946889519691467,0.01937547312567535,0.020464281312576865,187
half_normal,0.5,21,0.5946254134178162,0.019480246321192943,0.020574942256605548,29
half_normal,0.5,22,0.5945709347724915,0.019570079999150808,0.02066982415420613,64
